idrec,OBJECTID,BAIRRO,KM2,homicidios,teste,roubo_veiculo,roubo_patrimonio,pop2000,pop2010,dens2010m2,gini,p_pobre,p_desocup,p_alf,p_ens_sup,p_mulherchefe15_25,p_mulher_chefe,pjovem15_18,pjovem15_25,pjovem13_25,pjovem18_25,rdb,km2,centro,preco_imovel
33,389,SANTO ANTONIO,.75709844,9,0,24,1190,539,285,12.647,.65422302,.163366,12.3762,84.601097,.133663,5.3333001,37.1287,7.4211998,17.6252,19.109501,12.616,17735.041,.75709802,1,.98206282
57,413,SAO JOSE,3.4828074,31,0,48,1477,8653,8688,2.7492199,.40949401,.22231901,16.2801,65.769096,.015317,9.0081997,48.096298,9.1182003,22.6511,26.950199,15.8904,16825.32,3.48281,1,.30483031
48,404,SITIO DOS PINTOS,1.8320557,8,0,3,51,5660,7276,3.9714899,.521097,.097952999,8.1140003,74.911697,.046783999,7.7803001,31.944401,8.4982004,22.455799,26.572399,16.2367,22096.08,1.83206,0,4.3797865
19,375,SOLEDADE,.32771075,0,0,3,372,2201,2495,7.61342,.484635,.059649002,5.9649,93.866402,.46783599,8.2222004,52.631599,6.6788001,21.081301,23.035,16.4471,44965.918,.32771099,1,.95075393
70,426,TAMARINEIRA,1.0450417,1,0,144,430,11662,14124,13.5153,.44241399,.022242,2.1649001,90.756302,.44009501,2.7088001,39.4128,7.5545001,19.799299,23.032101,14.3114,94848.484,1.04504,0,1.1782143
79,435,TEJIPIO,.94885641,6,0,135,345,8486,8918,9.3986797,.495987,.098742999,8.842,85.8237,.074056998,3.1017001,36.1759,7.2237,20.1626,23.721399,14.8951,25417.201,.948856,0,1.2008144
14,370,TORRE,1.2524313,23,0,302,574,16931,17903,14.2946,.57266098,.103193,8.9186001,82.824402,.32832101,4.3758998,41.4212,8.1448002,21.1919,24.889299,15.1025,57925.078,1.25243,0,1.0980107
37,393,TORREAO,.17985192,2,0,29,87,900,1083,6.0216198,.47975799,.028112,2.8111999,93.222198,.46988001,2.2988999,34.9398,4.2221999,18.111099,21.6667,14.5556,72091.078,.17985199,0,.8261326
58,414,TORROES,1.6525149,48,0,147,307,29510,32015,19.373501,.449736,.17487399,15.2503,75.113503,.029191,6.6178999,37.307301,8.7630997,22.897301,27.282301,16.299601,13803.721,1.6525199,0,1.1274968
78,434,TOTO,.13173629,9,0,28,88,2265,2420,18.370001,.46179801,.153078,14.1431,79.0728,.019966999,4.0541,36.9384,7.1522999,19.2936,23.5762,13.9514,15552.601,.131736,0,3.0679207
85,441,VARZEA,22.942852,70,0,356,1078,64512,70453,3.0708001,.536825,.143599,12.8135,79.447197,.127956,5.1912999,33.239799,8.2278996,22.202101,26.153299,16.183001,24591.961,22.9429,0,1.5311208
25,381,VASCO DA GAMA,1.6200802,23,0,61,336,29426,31025,19.150299,.40526599,.114379,9.7302999,76.388199,.018836999,3.3557,34.327099,8.0812998,21.5931,25.484301,15.6154,13990.801,1.62008,0,1.1960207
34,390,ZUMBI,.4044579,3,0,25,166,5759,6033,14.9163,.55186599,.075436004,6.1097002,84.233398,.112219,3.9872,39.089802,6.9282999,20.368099,23.8409,15.0894,26260.799,.40445799,0,1.0947216
